file,ddg,total_motifs,significant_motifs,real_motif_ratio,hbond_motif_count,hbond_motif_energy_sum,closest_autodock_recovery_rmsd,closest_autodock_recovery_ddg,strain_energy,total,ligand_name
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/18/PV-004506718703/122/placement/res122_7F16_receptor_only_PV-004506718703_31_1.pdb,-15.296063,8.0,3.0,0.25,2,-1.293353,100,0,0,96.660584,PV-004506718703
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res5_11_shifted/3/PV-004516439356/122/placement/res122_7F16_receptor_only_PV-004516439356_161_5.pdb,-15.173012,10.0,4.0,0.3,2,-1.3917700000000002,100,0,0,99.735218,PV-004516439356
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/24/PV-004563691650/269/placement/res269_7F16_receptor_only_PV-004563691650_194_8.pdb,-15.778424,10.0,4.0,0.3,2,-0.444144,100,0,0,100.077432,PV-004563691650
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/1/PV-004576257327/122/placement/res122_7F16_receptor_only_PV-004576257327_176_5.pdb,-15.047575,8.0,4.0,0.25,2,-1.824829,100,0,0,97.377596,PV-004576257327
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/13/PV-004603685997/269/placement/res269_7F16_receptor_only_PV-004603685997_118_4.pdb,-15.125422,8.0,2.0,0.25,2,-0.988743,100,0,0,96.135835,PV-004603685997
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/35/PV-004610215663/269/placement/res269_7F16_receptor_only_PV-004610215663_90_9.pdb,-16.19124,11.0,2.0,0.272727,2,-0.467883,100,0,0,98.613604,PV-004610215663
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/26/PV-004616724786/269/placement/res269_7F16_receptor_only_PV-004616724786_222_10.pdb,-16.072605,7.0,3.0,0.285714,3,-1.341939,100,0,0,95.87117,PV-004616724786
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/21/PV-004648079684/122/placement/res122_7F16_receptor_only_PV-004648079684_135_0.pdb,-15.089032,11.0,4.0,0.272727,2,-0.5987399999999999,100,0,0,101.584955,PV-004648079684
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res5_11_shifted/7/PV-004652266261/269/placement/res269_7F16_receptor_only_PV-004652266261_193_1.pdb,-15.019141,7.0,2.0,0.285714,2,-1.307925,100,0,0,94.958648,PV-004652266261
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/23/PV-004655902680/122/placement/res122_7F16_receptor_only_PV-004655902680_26_5.pdb,-15.950047,7.0,3.0,0.285714,3,-1.505897,100,0,0,95.82977,PV-004655902680
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/36/PV-004657079975/269/placement/res269_7F16_receptor_only_PV-004657079975_189_1.pdb,-15.694478,9.0,2.0,0.333333,3,-0.8574039999999999,100,0,0,97.781451,PV-004657079975
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/26/PV-004683761849/122/placement/res122_7F16_receptor_only_PV-004683761849_133_6.pdb,-15.476784,9.0,3.0,0.333333,2,-1.337507,100,0,0,97.519042,PV-004683761849
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/37/PV-004702335537/269/placement/res269_7F16_receptor_only_PV-004702335537_21_10.pdb,-16.377062,9.0,1.0,0.333333,2,-1.84415,100,0,0,94.112121,PV-004702335537
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/16/PV-004711828768/269/placement/res269_7F16_receptor_only_PV-004711828768_97_1.pdb,-15.903081,7.0,3.0,0.285714,2,-0.6367510000000001,100,0,0,95.745882,PV-004711828768
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res5_11_shifted/7/PV-004774872382/269/placement/res269_7F16_receptor_only_PV-004774872382_1_3.pdb,-15.522765,7.0,3.0,0.285714,2,-0.6477229999999999,100,0,0,96.115226,PV-004774872382
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res5_11_shifted/9/PV-004778322961/122/placement/res122_7F16_receptor_only_PV-004778322961_102_2.pdb,-15.805707,11.0,4.0,0.454545,2,-1.318406,100,0,0,100.330432,PV-004778322961
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/17/PV-004798493641/122/placement/res122_7F16_receptor_only_PV-004798493641_166_0.pdb,-15.642859,11.0,3.0,0.272727,2,-1.1816,100,0,0,99.448268,PV-004798493641
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/16/PV-004824891556/122/placement/res122_7F16_receptor_only_PV-004824891556_87_3.pdb,-15.38509,9.0,4.0,0.333333,2,-1.023251,100,0,0,98.924992,PV-004824891556
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/21/PV-004826583086/269/placement/res269_7F16_receptor_only_PV-004826583086_90_2.pdb,-15.737774,8.0,4.0,0.375,2,-0.922352,100,0,0,97.714874,PV-004826583086
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res5_11_shifted/5/PV-004832011412/122/placement/res122_7F16_receptor_only_PV-004832011412_77_13.pdb,-15.399542,10.0,2.0,0.6,2,-0.6133660000000001,100,0,0,98.587092,PV-004832011412
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/34/PV-004860315998/269/placement/res269_7F16_receptor_only_PV-004860315998_45_2.pdb,-16.004339,7.0,1.0,0.285714,2,-0.643672,100,0,0,93.637703,PV-004860315998
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/18/PV-004881905100/269/placement/res269_7F16_receptor_only_PV-004881905100_60_3.pdb,-15.728531,8.0,3.0,0.25,2,-1.51629,100,0,0,96.005179,PV-004881905100
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res5_11_shifted/1/PV-004887538871/122/placement/res122_7F16_receptor_only_PV-004887538871_10_3.pdb,-15.476613,12.0,4.0,0.333333,2,-0.623346,100,0,0,102.233374,PV-004887538871
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/21/PV-004888073952/269/placement/res269_7F16_receptor_only_PV-004888073952_148_1.pdb,-15.352353,8.0,1.0,0.25,2,-0.518455,100,0,0,95.379192,PV-004888073952
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res5_11_shifted/10/PV-004894803557/122/placement/res122_7F16_receptor_only_PV-004894803557_120_3.pdb,-16.216217,7.0,4.0,0.285714,2,-0.930066,100,0,0,96.139431,PV-004894803557
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/16/PV-004897476699/269/placement/res269_7F16_receptor_only_PV-004897476699_25_15.pdb,-15.596951,10.0,3.0,0.3,2,-0.973844,100,0,0,98.729205,PV-004897476699
